id_,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price,lt,lg,region
219129,W13,3.0,3,No,1500-1999 sqft,N,No,16.0,9,1087.0,1821000.0,43.61799707222609,-79.3923829334807,13
757581,W13,1.0,1,YES,500-999 sqft,Yes,We,23.0,3,469.0,613000.0,43.64896846286158,-79.39003091322324,10
404196,W13,2.0,2,YES,500-999 sqft,Yes,We,12.0,1,767.0,838000.0,43.64104466596335,-79.37543575581886,18
821441,W13,2.0,2,No,500-999 sqft,Yes,S,10.0,25,827.0,935000.0,43.64212244209752,-79.37025008660014,6
612090,W10,2.0,1,No,,N,S,5.0,1,,1328000.0,43.69220992312529,-79.36501549460442,15
190492,W10,0.0,1,No,500-999 sqft,Yes,S,1.0,12,526.0,645000.0,43.65331584352952,-79.40030920867638,9
194328,W11,1.0,1,YES,500-999 sqft,N,S,4.0,8,610.0,777000.0,43.6657317590458,-79.3714678361946,2
463115,W13,1.0,2,YES,500-999 sqft,N,We,5.0,4,639.0,778000.0,43.638118467185606,-79.38774078020593,3
697209,W13,2.0,1,YES,,Yes,No,40.0,7,705.0,776000.0,43.6335058559898,-79.40431535240974,13
544847,W10,2.0,2,No,2000-2499 sqft,Yes,No,13.0,11,1353.0,2424000.0,43.68364286985454,-79.38649555422168,14
932951,W13,1.0,1,YES,500-999 sqft,Yes,E,19.0,0,588.0,664000.0,43.63487471403577,-79.42528949417603,0
314167,W11,3.0,2,No,500-999 sqft,Yes,We,37.0,19,492.0,664000.0,43.6596235910671,-79.35674827280816,16
636647,W10,1.0,1,No,500-999 sqft,Yes,E,13.0,25,776.0,572000.0,43.66182773280277,-79.41677924456589,4
813901,W10,1.0,1,YES,500-999 sqft,N,No,3.0,1,752.0,806000.0,43.68778353914964,-79.37737267875926,5
939782,W10,2.0,1,YES,500-999 sqft,N,E,1.0,7,866.0,909000.0,43.65605319841197,-79.41349201727549,4
417436,W10,2.0,1,No,1000-1499 sqft,Yes,S,54.0,1,702.0,954000.0,43.67832512203595,-79.36863918148072,20
649921,W10,2.0,2,No,500-999 sqft,N,E,4.0,16,1133.0,1132000.0,43.66747935750579,-79.40418481547331,12
527981,W10,2.0,2,YES,1500-1999 sqft,Yes,No,2.0,0,1156.0,1499000.0,43.67556406713593,-79.3958715539492,1
506169,W13,1.0,1,YES,0-499 sqft,Yes,E,6.0,4,284.0,394000.0,43.64003169504455,-79.38850037323355,3
