id_,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price,lt,lg,region,minHighwayDis,minHospitalDis,minMallDis,minParkDis,minPoliceDis,minSchoolDis,minStationDis,crime_rate_per_100000_people
100681,W10,1.0,2,No,0-499 sqft,Yes,We,38.0,45,523.0,535000.0,43.66845834376327,-79.38789048480449,24,1.91,0.86,0.03,0.31,1.13,0.09,0.27,1520.0
100794,W10,1.0,1,No,0-499 sqft,N,S,17.0,0,628.0,466000.0,43.67229155763189,-79.3796347604845,8,1.12,1.21,0.14,0.7,1.91,0.73,0.26,2548.0
101031,W13,3.0,3,No,500-999 sqft,Yes,E,16.0,3,749.0,978000.0,43.64669007707301,-79.38382097163115,18,0.6,1.67,0.24,1.06,0.99,1.09,0.15,6464.0
101158,W10,1.0,1,YES,0-499 sqft,Yes,No,13.0,9,552.0,495000.0,43.68928977967896,-79.37649981574212,5,1.29,3.12,1.09,1.92,3.35,1.51,1.39,2548.0
101813,W11,0.0,1,No,500-999 sqft,Yes,We,6.0,10,430.0,533000.0,43.66628108371482,-79.36224565980538,2,0.9,1.74,0.5,1.25,3.12,0.96,0.97,2374.0
101818,W10,2.0,2,YES,1000-1499 sqft,N,S,18.0,11,1048.0,817000.0,43.66594313315719,-79.42068614856417,21,3.57,3.08,0.39,2.91,1.59,0.29,0.27,2030.0
102241,W13,1.0,1,No,500-999 sqft,Yes,No,36.0,20,838.0,854000.0,43.64575037352892,-79.36587649598756,6,0.19,2.24,0.5,2.11,1.84,0.41,1.02,2293.0
102336,W10,2.0,1,No,500-999 sqft,Yes,E,12.0,5,555.0,684000.0,43.68372118519994,-79.3886456871101,14,1.72,2.5,0.56,1.88,2.32,1.1,0.27,2548.0
102531,W13,1.0,1,No,500-999 sqft,Yes,No,6.0,46,382.0,423000.0,43.64776986207895,-79.40188333445744,23,1.12,2.17,0.04,1.43,1.65,0.37,1.28,5186.0
102886,W10,,1,No,0-499 sqft,Yes,We,39.0,9,332.0,467000.0,43.67751120314574,-79.36899514006333,20,0.1,2.09,0.81,1.7,2.93,1.58,0.45,2548.0
103015,W13,3.0,2,No,500-999 sqft,N,We,14.0,1,447.0,563000.0,43.63729680484137,-79.39541915251273,3,0.32,2.89,0.3,0.45,0.76,0.05,1.44,1486.0
103355,W10,1.0,1,YES,500-999 sqft,Yes,No,47.0,4,434.0,603000.0,43.66925911031591,-79.4259310290004,21,4.02,3.56,0.31,3.34,2.07,0.35,0.76,2030.0
104292,W11,1.0,1,No,500-999 sqft,Yes,No,10.0,10,472.0,565000.0,43.66439236713097,-79.37041557942335,2,1.35,1.05,0.21,1.18,2.46,0.74,1.0,2374.0
104338,W10,1.0,1,YES,0-499 sqft,N,E,2.0,11,649.0,589000.0,43.67233829082316,-79.37704368801376,8,0.96,1.28,0.12,0.84,2.1,0.91,0.05,2548.0
104866,W11,2.0,2,YES,1500-1999 sqft,N,S,0.0,6,1152.0,1373000.0,43.66295004057374,-79.37259857829686,19,1.47,0.84,0.19,1.07,2.29,0.57,0.86,3543.0
105003,W10,1.0,2,No,0-499 sqft,Yes,S,28.0,5,500.0,619000.0,43.68709743398835,-79.37888733376793,5,1.27,2.85,0.97,2.2,3.04,1.64,1.11,2548.0
105040,W10,2.0,2,No,,N,E,41.0,29,917.0,820000.0,43.68437417688973,-79.37163874512466,15,0.67,2.68,0.54,1.9,3.21,1.79,1.23,2548.0
105468,W13,3.0,2,No,1500-1999 sqft,N,S,6.0,2,1419.0,1856000.0,43.64528066870085,-79.40670355453,23,1.02,2.64,0.3,1.56,1.17,0.68,1.42,1674.0
