region,highway_ids,hospital_ids,mall_ids,park_ids,police_ids,school_ids,station_ids
0,"node/3458805, node/3458858, node/3458920, node/3458959, node/3458964, node/21421205, node/21421401, node/21421514, node/21421516, node/21421534, node/21421540, node/21421548, node/21426219, node/21426227, node/21426318, node/21426322, node/21426338, node/21426861, node/21426892, node/21426903, node/21426925, node/21428990, node/21429004, node/21429012, node/21429021, node/21429024, node/21429028, node/21429045, node/21429050, node/21436553, node/21436557, node/21490120, node/23940543, node/26658849, node/26658858, node/36192281, node/36192283, node/36192361, node/60948192, node/76477995, node/76478001, node/76478060, node/76478070, node/76478119, node/76478134, node/76478138, node/76478142, node/76478149, node/76478418, node/76484675, node/95634273, node/95634419, node/95634459, node/95634500, node/95634608, node/202263930, node/202278078, node/249710167, node/280212163, node/280217900, node/280218009, node/301331368, node/301331557, node/313081854, node/313082415, node/317606110, node/319968069, node/319968521, node/320103688, node/320103709, node/320104051, node/375313672, node/380612644, node/386132318, node/420888042, node/520873732, node/696644460, node/1385397925, node/1385397985, node/1433175168, node/1463159828, node/1463159831, node/1546658908, node/1576439742, node/2714580471, node/2771660436, node/3171159581, node/4742998892, node/5764710138",,"node/382054433, node/411670085, node/411670118, node/414574534, node/414575811, node/414579649, node/414579659, node/414581262, node/414945699, node/414945703, node/414951325, node/414951337, node/414966347, node/415208015, node/415730512, node/416008820, node/432783544, node/527025586, node/530787073, node/549033787, node/652152144, node/668989553, node/699671366, node/708779942, node/726453066, node/732809379, node/803202334, node/891977606, node/911632130, node/1309639627, node/1309646535, node/1319709209, node/1407761340, node/1407769531, node/1569579009, node/1672922213, node/1685297716, node/1851315083, node/1861805904, node/1862244325, node/1962058996, node/1997659648, node/2470509496, node/2558957633, node/2564794500, node/2685647164, node/2853037158, node/3418915694, node/3654403517, node/3732233409, node/3748566485, node/3755181758, node/3894314045, node/3928979016, node/3932261958, node/3933307437, node/3956980923, node/3966621834, node/3968908307, node/4004435203, node/4020625321, node/4379889589, node/4425187036, node/4435701086, node/4664668699, node/4953740624, node/5061254768, node/6096959395, node/6310065821, node/6325960670, node/6475614458, node/6512005429, node/6804490485, node/6994152432, node/7813667191, node/8496630299, node/8888742984, node/8912057527, node/9104480072, node/9556263051, node/10078563189, node/10893291926, node/10900647380, node/11049774495, node/11352851945, node/11415784175, node/11974058317, node/12070412672, node/12195834210, node/12245054117, node/12271450602","node/364925801, node/2178501561, node/2345710336, node/2424416832, node/8611260207, node/8946508777, node/9483927677, node/9696330542, node/9759794001, node/9918137343","node/392181126, node/1651064303, node/1651064404, node/4597111990","node/1328165706, node/3855202957, node/4551131817, node/6422118763, node/7098473320, node/7098518923, node/7102270360, node/7102270361, node/7108062464, node/8892230449, node/8961445021, node/9289182102, node/9900714432, node/9918144373, node/10170308360, node/10873967822, node/10873982754, node/11163031924, node/11264945447, node/11265003415, node/11285021544, node/11571442528, node/12568750453","node/59980039, node/65126732, node/424028625, node/432805453, node/471170591, node/2249683136, node/2249683137, node/5326455477, node/5326471419, node/6997477909, node/7003408577, node/7003408578, node/7003408579, node/7003427089"
1,,,"node/241270779, node/763638337, node/1134233888, node/6874103129",,,"node/560639597, node/4456479981","node/25991314, node/34710071"
2,,,"node/48553740, node/281361239, node/286547439, node/2546385051, node/4013809949, node/4015549339, node/4015549348, node/4100650892, node/4253506981, node/4378209726, node/9353851055",node/9596082843,,"node/2336695931, node/2391853334, node/2619196389, node/7103772320, node/7103772321, node/11177376727","node/5325077186, node/5326541297, node/5326548040, node/5326551838, node/5326558129, node/5326559427, node/8901485524"
3,"node/3458773, node/60948157, node/208533377",,"node/368385300, node/402150073, node/1141372978, node/1141383055, node/2454878864, node/3229188764, node/3368947344, node/5127412877, node/7899974042, node/12233587228",node/11882563610,,"node/2336591008, node/7725077139, node/7725077140, node/12326896497",
4,,,"node/387446824, node/387449941, node/4804929629",,,"node/26001540, node/7099007329, node/7102270358",
5,"node/21489948, node/21543005, node/29659503, node/29659509, node/29659511, node/29659614, node/29659711, node/29659736, node/29659949, node/29660012, node/29660093, node/29660391, node/63726669, node/63726835, node/139218119, node/139221332, node/139223909, node/139232345, node/1566762724, node/1590306772, node/1590306846, node/1754065107",,"node/297103242, node/302473945, node/321552029, node/386776792, node/391166248, node/391174565, node/772352280, node/1073627085, node/2926526060, node/3032299219, node/3258796963, node/4858715364, node/5368912117, node/6589646933, node/7170144138, node/11609761766, node/11609834477, node/12583199433","node/147134453, node/299296632, node/7159542169, node/11006264026, node/11673378999, node/11987305484, node/12324652640",,"node/1815461163, node/5413471606, node/5444147981","node/5318480907, node/5318484724, node/7003427086"
6,"node/3458699, node/208539709",,"node/276474902, node/380040874, node/1639866940, node/2967604370, node/6382259855, node/11663544527",,,"node/2333868792, node/4295671568",
7,,,node/3396318852,,node/723327998,,
8,,,"node/391180767, node/431245952, node/534020591, node/682232893, node/3288802961, node/6371122436",node/8392213018,,node/2461723494,"node/34710079, node/1157217363, node/2481423750"
9,,,"node/3796212747, node/5732513225, node/6205041786, node/6483209308, node/11229155922",,,"node/42606916, node/2329689688, node/7102314753",
