node_id,lat,lon
node/1497793,43.7555309,-79.3346901
node/1498116,43.7255298,-79.3305335
node/1500224,43.7689419,-79.3343753
node/1500294,43.7675254,-79.3343615
node/1500324,43.7666169,-79.3536635
node/1500355,43.7682983,-79.3273776
node/1500367,43.7685461,-79.3265949
node/1500382,43.7687015,-79.3140412
node/1500416,43.7678813,-79.3259759
node/3451579,43.8418054,-79.0646583
node/3451596,43.8395172,-79.0695541
node/3451686,43.8235482,-79.1040558
node/3454742,43.8173318,-79.1132964
node/3458665,43.6481414,-79.3605147
node/3458699,43.6462243,-79.368164
node/3458773,43.6378351,-79.3993498
node/3458805,43.6331047,-79.4283169
node/3458858,43.6341035,-79.4375266
node/3458920,43.6263761,-79.4858841
node/3458959,43.6217305,-79.5050659
node/3458964,43.6203168,-79.5123354
node/18317258,43.7664455,-79.3522707
node/18318860,43.767786,-79.3363094
node/18319127,43.7686716,-79.3311085
node/20650409,43.7665063,-79.3458347
node/20650422,43.7663729,-79.3416992
node/20650453,43.7656473,-79.3397386
node/20650536,43.7714029,-79.3391912
node/20650541,43.7695059,-79.339568
node/20698655,43.7832969,-79.3412654
node/20920958,43.7719041,-79.3390139
node/20920970,43.7666916,-79.3444496
node/20964490,43.6821878,-79.3638748
node/21306147,43.6980999,-79.3405621
node/21306173,43.6999946,-79.3381811
node/21421205,43.6273366,-79.6898655
node/21421401,43.6383154,-79.6607855
node/21421437,43.6660602,-79.5973163
node/21421514,43.6328854,-79.559747
node/21421516,43.6371078,-79.5606462
node/21421534,43.6509899,-79.565995
node/21421540,43.6386483,-79.5606859
node/21421548,43.6178567,-79.5524247
node/21421595,43.7237854,-79.3320698
node/21421611,43.7223676,-79.3283958
node/21426219,43.6276364,-79.5563614
node/21426227,43.6472589,-79.5639128
node/21426240,43.6677855,-79.5732962
node/21426294,43.6733956,-79.5916519
node/21426318,43.6507435,-79.6321359
node/21426322,43.6461403,-79.6443325
node/21426338,43.6444498,-79.6678016
node/21426861,43.6446325,-79.6501259
node/21426892,43.5902088,-79.6558983
node/21426903,43.5579417,-79.6908625
node/21426925,43.6403299,-79.6616395
node/21428990,43.6143043,-79.5477123
node/21429004,43.6149038,-79.5446882
node/21429012,43.61583,-79.5373115
node/21429021,43.6188136,-79.522799
node/21429024,43.620036,-79.5169039
node/21429028,43.6211196,-79.5109091
node/21429045,43.6186159,-79.5209761
node/21429050,43.6196879,-79.5155094
node/21436553,43.6219748,-79.5058764
node/21436557,43.6200649,-79.5155228
node/21436588,43.6722482,-79.5806799
node/21436607,43.6825764,-79.5950675
node/21436614,43.6933386,-79.6047196
node/21436620,43.7141357,-79.617493
node/21436625,43.7451066,-79.629395
node/21489772,43.7707438,-79.3020757
node/21489804,43.7817513,-79.2512998
node/21489845,43.7974806,-79.1904275
node/21489854,43.7992972,-79.1763971
node/21489874,43.8505946,-79.0334738
node/21489888,43.8569049,-79.0057801
node/21489900,43.8476086,-79.0471097
node/21489948,43.7641548,-79.3822128
node/21489963,43.7494865,-79.4147222
node/21489979,43.7336332,-79.4379865
node/21490009,43.7198732,-79.4936173
node/21490016,43.717781,-79.5060179
node/21490028,43.7143365,-79.5313807
