id_,ward,beds,baths,DEN,size,parking,exposure,D_mkt,building_age,maint,price,lt,lg
219129,W13,3,3,No,1500-1999 sqft,N,No,16,9,1087,1821000,43.61799707222609,-79.3923829334807
757581,W13,1,1,YES,500-999 sqft,Yes,We,23,3,469,613000,43.64896846286158,-79.39003091322324
404196,W13,2,2,YES,500-999 sqft,Yes,We,12,1,767,838000,43.64104466596335,-79.37543575581886
821441,W13,2,2,No,500-999 sqft,Yes,S,10,25,827,935000,43.64212244209752,-79.37025008660014
612090,W10,2,1,No,NA,N,S,5,1,NA,1328000,43.69220992312529,-79.36501549460442
190492,W10,0,1,No,500-999 sqft,Yes,S,1,12,526,645000,43.65331584352952,-79.40030920867638
194328,W11,1,1,YES,500-999 sqft,N,S,4,8,610,777000,43.6657317590458,-79.3714678361946
463115,W13,1,2,YES,500-999 sqft,N,We,5,4,639,778000,43.638118467185606,-79.38774078020593
697209,W13,2,1,YES,NA,Yes,No,40,7,705,776000,43.633505855989796,-79.40431535240974
544847,W10,2,2,No,2000-2499 sqft,Yes,No,13,11,1353,2424000,43.68364286985454,-79.38649555422168
932951,W13,1,1,YES,500-999 sqft,Yes,E,19,0,588,664000,43.63487471403577,-79.42528949417603
314167,W11,3,2,No,500-999 sqft,Yes,We,37,19,492,664000,43.6596235910671,-79.35674827280816
636647,W10,1,1,No,500-999 sqft,Yes,E,13,25,776,572000,43.66182773280277,-79.41677924456589
813901,W10,1,1,YES,500-999 sqft,N,No,3,1,752,806000,43.687783539149635,-79.37737267875926
939782,W10,2,1,YES,500-999 sqft,N,E,1,7,866,909000,43.65605319841197,-79.41349201727549
417436,W10,2,1,No,1000-1499 sqft,Yes,S,54,1,702,954000,43.67832512203595,-79.36863918148072
649921,W10,2,2,No,500-999 sqft,N,E,4,16,1133,1132000,43.66747935750579,-79.40418481547331
527981,W10,2,2,YES,1500-1999 sqft,Yes,No,2,0,1156,1499000,43.67556406713593,-79.3958715539492
506169,W13,1,1,YES,0-499 sqft,Yes,E,6,4,284,394000,43.64003169504455,-79.38850037323355
299615,W10,1,1,YES,0-499 sqft,N,No,16,14,591,544000,43.65477959286089,-79.39384776313454
281843,W10,3,3,No,500-999 sqft,Yes,S,5,5,477,688000,43.6566233037412,-79.42206224702754
320300,W11,1,1,No,500-999 sqft,N,E,24,6,444,583000,43.66944239478581,-79.37302246074034
907535,W11,1,1,No,500-999 sqft,N,S,6,16,818,618000,43.656430472335856,-79.3614755102645
819012,W13,1,1,YES,0-499 sqft,Yes,No,2,13,291,447000,43.63787336330299,-79.42318860146155
530843,W10,1,1,No,500-999 sqft,N,We,5,7,821,962000,43.677867350874486,-79.38042925505518
456166,W10,1,1,YES,0-499 sqft,N,S,27,10,511,583000,43.658014588772566,-79.40884291248227
791788,W13,1,1,No,0-499 sqft,N,No,0,2,341,480000,43.64858319233683,-79.35821841977804
307066,W13,2,2,No,500-999 sqft,Yes,E,5,9,615,929000,43.63712324210069,-79.39586212415982
608036,W13,NA,3,No,0-499 sqft,Yes,We,11,11,433,535000,43.643433868162674,-79.38511118341799
281137,W11,2,1,No,NA,N,E,10,0,1101,1514000,43.66898662492308,-79.36992489744038
408987,W13,1,1,YES,500-999 sqft,Yes,No,NA,1,505,660000,43.64797126927217,-79.42188992099923
518361,W10,1,1,YES,500-999 sqft,Yes,E,28,15,551,584000,43.691252039269386,-79.38356074578479
621228,W10,1,1,YES,0-499 sqft,Yes,No,33,4,402,515000,43.658391783860885,-79.41298298667198
612200,W13,1,1,No,500-999 sqft,Yes,No,1,9,NA,421000,43.64695008014707,-79.35810506709902
354135,W11,3,2,No,1000-1499 sqft,N,E,30,1,937,1288000,43.670752989108706,-79.3695234168154
378054,W13,2,2,YES,1000-1499 sqft,N,No,3,5,811,1063000,43.6386905061052,-79.40292852867819
707003,W10,1,1,No,0-499 sqft,Yes,No,2,13,391,608000,43.67260820394731,-79.3964567179495
616282,W10,2,2,No,1000-1499 sqft,Yes,S,13,14,748,955000,43.67038725693614,-79.41675121939844
893102,W13,2,2,YES,500-999 sqft,N,S,6,1,597,668000,43.64235415289229,-79.39064251149064
568870,W10,3,3,No,500-999 sqft,N,S,45,12,864,1062000,43.68510818722781,-79.36352422764439
975983,W11,1,1,No,500-999 sqft,N,S,26,12,462,732000,43.66940298365705,-79.36458858263411
722273,W11,2,2,YES,500-999 sqft,N,We,5,9,484,740000,43.650848467277946,-79.35949469940189
845257,W11,3,2,No,2000-2499 sqft,Yes,S,43,7,2324,2091000,43.656330604,-79.37049594275031
581277,W10,1,1,No,500-999 sqft,Yes,E,10,4,425,744000,43.66704293452999,-79.39023614082762
417263,W13,2,2,No,0-499 sqft,Yes,No,17,2,363,474000,43.6409791040876,-79.39103784280555
418538,W13,0,1,No,0-499 sqft,Yes,We,26,5,435,491000,43.63335213033687,-79.40538161130118
475362,W13,1,1,No,500-999 sqft,Yes,S,20,4,393,NA,43.637068301466776,-79.41992239558438
309405,W10,1,1,No,500-999 sqft,N,No,6,4,462,643000,43.66491143054659,-79.42342978529648
853540,W10,2,2,No,500-999 sqft,Yes,S,5,0,643,797000,43.67506532134303,-79.38359438675909
839906,W10,1,1,No,500-999 sqft,N,E,5,12,480,706000,43.66977787380511,-79.41909721734585
367605,W13,1,1,No,0-499 sqft,Yes,No,15,7,514,677000,43.62791634368859,-79.42217395109768
728239,W10,1,1,No,0-499 sqft,Yes,E,8,34,322,433000,43.677618233339224,-79.37808845380833
798021,W10,3,3,No,1500-1999 sqft,N,E,1,4,1376,1594000,43.68197315281072,-79.38338747626753
226145,W10,1,1,No,500-999 sqft,Yes,S,0,14,711,954000,43.65123667382479,-79.41229867796919
616690,W13,1,1,YES,0-499 sqft,Yes,No,29,10,590,621000,43.64341935897714,-79.37353850127008
751569,W11,1,1,YES,500-999 sqft,N,S,1,12,600,506000,43.67102477562876,-79.37884185554077
142938,W13,1,1,YES,500-999 sqft,Yes,We,5,1,513,659000,43.63068175184152,-79.42506854587812
530508,W10,1,1,YES,0-499 sqft,Yes,S,19,4,424,579000,43.674908170165445,-79.40011674304948
834952,W10,NA,1,YES,0-499 sqft,Yes,We,27,66,596,593000,43.66677528463544,-79.41090874291397
307990,W13,2,2,No,1000-1499 sqft,N,E,4,7,1328,2104000,43.645487322033425,-79.38877218563383
879190,W13,1,1,YES,0-499 sqft,Yes,No,16,16,498,417000,43.64347583419956,-79.39152697764838
207517,W10,1,1,YES,500-999 sqft,Yes,S,35,50,580,606000,43.68630830823633,-79.36546014961567
663260,W13,1,1,No,0-499 sqft,N,S,5,4,479,423000,43.63915834275468,-79.40902855204247
548273,W10,1,1,YES,500-999 sqft,N,No,20,7,592,717000,43.672265753345535,-79.39255352976954
932983,W10,2,2,No,5500-3999 sqft,N,S,7,6,2399,3233000,43.65855805222266,-79.4099473508933
400295,W10,1,1,No,500-999 sqft,Yes,S,5,1,463,476000,43.6603771976342,-79.42268654902624
550120,W10,2,1,YES,500-999 sqft,N,No,34,1,980,822000,43.68851321717712,-79.37340043467746
586668,W10,1,1,YES,0-499 sqft,N,S,21,5,442,634000,43.660928055298875,-79.42212001459329
807145,W10,1,1,No,500-999 sqft,Yes,No,1,12,646,657000,43.68748498149737,-79.38652052757627
302078,W10,1,1,YES,500-999 sqft,N,No,26,1,951,824000,43.67141654088601,-79.38202049951113
801210,W10,2,1,No,500-999 sqft,Yes,No,3,5,899,1170000,43.658142353266236,-79.41778346105235
366502,W11,2,2,YES,NA,N,We,19,26,1440,1593000,43.67035203083382,-79.37700259986664
837282,W10,2,2,YES,500-999 sqft,Yes,S,6,4,875,1151000,43.691370727488135,-79.38520084850015
124059,W11,2,3,YES,1000-1499 sqft,Yes,S,5,7,1530,1631000,43.65609579363458,-79.37316590622777
948888,W11,0,1,No,500-999 sqft,Yes,S,1,6,672,651000,43.64735741454651,-79.37624496123253
928860,W10,0,1,No,500-999 sqft,Yes,We,11,1,405,NA,43.68320743542206,-79.37538200435051
870561,W13,NA,1,No,500-999 sqft,N,No,12,11,515,790000,43.64773136448078,-79.3865173628873
567771,W10,1,1,YES,0-499 sqft,N,S,16,23,784,609000,43.6735033312105,-79.41613684542105
